"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
24,"services","single","professional.course","no","yes","no","cellular","jul","wed",349,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
38,"technician","divorced","high.school","no","yes","yes","cellular","apr","thu",279,3,999,1,"failure",-1.8,93.075,-47.1,1.41,5099.1,"no"
43,"management","single","university.degree","no","yes","no","telephone","may","thu",140,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
34,"technician","married","professional.course","no","no","no","cellular","aug","thu",88,3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
37,"unemployed","married","university.degree","no","no","yes","telephone","jul","fri",85,3,999,0,"nonexistent",1.4,93.918,-42.7,4.959,5228.1,"no"
38,"technician","married","professional.course","","no","no","cellular","nov","wed",1049,1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"yes"
35,"entrepreneur","married","university.degree","no","no","no","telephone","jun","fri",109,1,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
42,"housemaid","married","basic.4y","no","yes","no","telephone","may","mon",130,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
33,"admin.","single","university.degree","no","","","cellular","aug","mon",295,2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
52,"blue-collar","married","basic.4y","","yes","no","cellular","jul","fri",2015,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes"
36,"blue-collar","single","basic.9y","no","no","no","cellular","jul","mon",234,2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
45,"admin.","married","basic.9y","no","no","no","telephone","jun","thu",521,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
37,"blue-collar","married","basic.9y","no","yes","no","telephone","jun","thu",164,2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
29,"admin.","single","university.degree","no","no","no","cellular","oct","mon",87,2,999,1,"failure",-3.4,92.431,-26.9,0.731,5017.5,"no"
25,"self-employed","divorced","university.degree","no","no","no","cellular","apr","mon",111,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
56,"housemaid","married","basic.4y","no","no","no","telephone","jun","wed",204,1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
34,"blue-collar","married","basic.9y","","no","no","telephone","jun","fri",120,2,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no"
27,"blue-collar","married","basic.9y","no","yes","no","telephone","may","tue",297,3,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
43,"blue-collar","married","basic.4y","no","no","no","cellular","may","tue",217,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,"no"
45,"self-employed","married","basic.4y","","yes","no","telephone","may","tue",332,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
25,"services","single","high.school","no","yes","no","telephone","jun","mon",162,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
64,"retired","married","basic.4y","no","","","telephone","dec","wed",137,8,999,0,"nonexistent",-3,92.713,-33,0.715,5023.5,"no"
78,"retired","divorced","basic.6y","no","no","no","telephone","oct","fri",177,2,999,0,"nonexistent",-3.4,92.431,-26.9,0.72,5017.5,"no"
45,"","married","","no","yes","no","telephone","may","thu",251,1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
38,"admin.","married","high.school","no","no","yes","cellular","jul","thu",106,3,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no"
36,"technician","married","professional.course","no","yes","no","cellular","jul","wed",182,3,999,0,"nonexistent",-2.9,92.469,-33.6,1.029,5076.2,"no"
43,"services","married","high.school","no","no","no","cellular","apr","mon",26,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
47,"housemaid","married","university.degree","no","yes","no","cellular","aug","mon",232,2,999,0,"nonexistent",-2.9,92.201,-31.4,0.843,5076.2,"yes"
43,"admin.","divorced","basic.9y","no","yes","no","cellular","may","mon",47,1,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,"no"
46,"blue-collar","single","basic.9y","","yes","no","cellular","jul","thu",155,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
33,"services","married","professional.course","no","no","no","telephone","may","mon",76,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
59,"retired","married","professional.course","no","yes","no","telephone","jun","wed",109,9,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
